comment_id,video_id,channel_name,sentimiento,prob_neg,prob_neu,prob_pos
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zXUuRIq0q,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.7638130187988281,0.1979945451021194,0.0381924621760845
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_znUL05zze,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.9121987223625184,0.077425330877304,0.0103758843615651
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajAa0q77b9a3F,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.8130667209625244,0.1733677685260772,0.0135654835030436
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajAa0qEPC8tJc,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEU,0.0782648622989654,0.7996494770050049,0.122085690498352
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajAa41uU3Anhg,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.9607798457145692,0.0332496389746665,0.0059705348685383
UgxFOJmnMHqi2dpDaZd4AaABAg,n8iP75gIpmw,Quorum,NEG,0.8848000764846802,0.1036418676376342,0.0115581192076206
UgxFzCyhju6zPSl4zwZ4AaABAg,j43HgwYFKfk,Quorum,POS,0.0270465556532144,0.3075514435768127,0.6654019951820374
UgxHqBlwo8Dpvv-2P5d4AaABAg,n8iP75gIpmw,Quorum,NEU,0.0884236618876457,0.8619049787521362,0.0496714152395725
UgxJQfg5iHA6vRWS0El4AaABAg,j43HgwYFKfk,Quorum,NEG,0.924941897392273,0.0615915469825267,0.0134666059166193
UgxK5IJwWigmJ56Xp7p4AaABAg,ndAZjHqzzT8,Quorum,POS,0.0311609078198671,0.2298897504806518,0.7389492988586426
UgxKfM_nJMsGTkKkM8V4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9731692671775818,0.0212390255182981,0.0055916979908943
UgxLNf6Xy3xngPFLs594AaABAg,n8iP75gIpmw,Quorum,NEG,0.8505210876464844,0.1433669328689575,0.0061120241880416
UgxLSZD8ZrNFmd10RKR4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9717497229576112,0.0232545752078294,0.0049957074224948
UgxNSGVebHMGSFI8zX94AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.8930358290672302,0.0886607468128204,0.018303494900465
UgxNgFkGSE6nct4PF3V4AaABAg,PjmxCj-a9Hg,Gobierno de la República de Guatemala,NEU,0.1262688487768173,0.7461709380149841,0.1275602877140045
UgxOO0LIkZP1WvhR1U54AaABAg,ndAZjHqzzT8,Quorum,POS,0.0050335098057985,0.0435923933982849,0.9513741135597228
UgxPHo503SIH-EmlR-t4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,POS,0.0324606709182262,0.1703453660011291,0.7971940040588379
UgxPRaGm9MdlK4U6VPt4AaABAg,n8iP75gIpmw,Quorum,NEG,0.6716195940971375,0.2842589616775512,0.0441214554011821
UgxQC-ejR063rkAb1VB4AaABAg,yLZS3JiEBg8,Quorum,NEG,0.98012113571167,0.0170458760112524,0.0028330048080533
UgxR0AXNH_3DGn-T1494AaABAg,n8iP75gIpmw,Quorum,NEG,0.7736864686012268,0.2135539948940277,0.0127595467492938
UgxR1eqvFSEtPNShD8x4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,POS,0.0221293643116951,0.2119507938623428,0.7659198045730591
UgxS0pN-vg0fjeNSLeJ4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.9709585309028624,0.0247948374599218,0.0042466036975383
UgxTjz0jSJkZW5dGnSp4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9631775617599488,0.0310866236686706,0.0057358420453965
UgxVUS-jkZU2DAjmNjR4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9683577418327332,0.0275818072259426,0.0040604514069855
UgxW0ZnTohConSPgOpp4AaABAg,j43HgwYFKfk,Quorum,POS,0.0072461855597794,0.0481960028409957,0.944557785987854
UgxWzoHDeFfVC7jrjzF4AaABAg,OkXlHx0hx-8,Noticias Telemundo,POS,0.0041766576468944,0.0444073416292667,0.9514159560203552
UgxWzoHDeFfVC7jrjzF4AaABAg.Aa9DdH5avRRAaB_gLYRAuw,OkXlHx0hx-8,Noticias Telemundo,NEG,0.6682208776473999,0.2674578428268432,0.0643212795257568
UgxXGkvxY-TdtPROWcV4AaABAg,j43HgwYFKfk,Quorum,NEG,0.945716679096222,0.0432528555393219,0.0110305501148104
UgxXy9CurqMBEjFnVwF4AaABAg,ndAZjHqzzT8,Quorum,POS,0.0027395992074161,0.0368961915373802,0.9603641629219056
UgxZFzh6jzOX7Avhk1h4AaABAg,n8iP75gIpmw,Quorum,NEU,0.3446088135242462,0.5728293657302856,0.0825618579983711
Ugx_gjcVH5SlIKBNTGh4AaABAg,yLZS3JiEBg8,Quorum,POS,0.0045762280933558,0.0708618685603141,0.9245619773864746
Ugxb-sknzjBr3wecCw94AaABAg,06mFNPU0aB8,Noti7,NEG,0.926661491394043,0.0650385245680809,0.0082998881116509
Ugxb1xcC9SSJ_5vSArF4AaABAg,j43HgwYFKfk,Quorum,NEU,0.3629999756813049,0.4982492923736572,0.138750672340393
Ugxbz7-04jLwadBMK_p4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9538968205451964,0.0372634790837764,0.0088395737111568
UgxcBa2IQb3I0JZcFax4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEU,0.4533408880233764,0.498494416475296,0.0481647439301013
UgxcGV8-rD83ACvM0954AaABAg,n8iP75gIpmw,Quorum,NEG,0.8563533425331116,0.1340715885162353,0.0095751108601689
UgxctiUZJriWwsE0a6J4AaABAg,n8iP75gIpmw,Quorum,NEG,0.9674015641212464,0.026807652786374,0.0057907220907509
Ugxd8fn-MEnc3SKPtid4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.6604190468788147,0.2815788984298706,0.0580020397901535
UgxdfjiT5_VBaeADj7h4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEU,0.0793785974383354,0.5336158871650696,0.3870055675506592
Ugxe0MXeW4ziwUMTfF54AaABAg,n8iP75gIpmw,Quorum,NEU,0.0698178261518478,0.7917838096618652,0.1383983790874481
UgxeJQgzDc124jVv7Fx4AaABAg,j43HgwYFKfk,Quorum,POS,0.0139873474836349,0.2448114156723022,0.7412012219429016
